,Name,Symbol
205,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,AFGB
206,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,AFGC
207,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,AFGD
208,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,AFGE
209,Acutus Medical Inc. Common Stock,AFIB
210,AFLAC Incorporated Common Stock,AFL
211,Affimed N.V.,AFMD
212,Forafric Global PLC Ordinary Shares,AFRI
213,Forafric Global PLC Warrants,AFRIW
214,Affirm Holdings Inc. Class A Common Stock,AFRM
215,Apollo Senior Floating Rate Fund Inc. Common Stock,AFT
216,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,AFTR
217,Afya Limited Class A Common Shares,AFYA
218,First Majestic Silver Corp. Ordinary Shares (Canada),AG
219,African Gold Acquisition Corporation Class A Ordinary Shares,AGAC
220,AGBA Acquisition Limited Ordinary Share,AGBA
221,AGBA Acquisition Limited Right,AGBAR
222,AGBA Acquisition Limited Warrant,AGBAW
223,Altimeter Growth Corp. 2 Class A Ordinary Shares,AGCB
224,AGCO Corporation Common Stock,AGCO
225,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,AGD
226,AgeX Therapeutics Inc. Common Stock,AGE
227,Agenus Inc. Common Stock,AGEN
228,AgroFresh Solutions Inc. Common Stock,AGFS
229,Agrify Corporation Common Stock,AGFY
230,Agile Growth Corp. Class A Ordinary Share,AGGR
231,Agile Growth Corp. Units,AGGRU
232,Agile Growth Corp. Warrant.,AGGRW
233,Alamos Gold Inc. Class A Common Shares,AGI
234,AgileThought Inc. Class A Common Stock,AGIL
235,AgileThought Inc. Warrant,AGILW
236,Agios Pharmaceuticals Inc. Common Stock,AGIO
237,agilon health inc. Common Stock,AGL
238,Aeglea BioTherapeutics Inc. Common Stock,AGLE
239,Federal Agricultural Mortgage Corporation Common Stock,AGM
240,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,AGM^C
241,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,AGM^D
242,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,AGM^E
243,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,AGM^F
244,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,AGM^G
245,AGM Group Holdings Inc. Class A Ordinary Shares,AGMH
246,AGNC Investment Corp. Common Stock,AGNC
247,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,AGNCM
